outcome,event_time,coef,std_error,p_value,ci_lower,ci_upper,cohort,n_treated
top3_mean_consumption,-12,0.0762706648,0.0822803965,0.3539471236,-0.0849989124,0.237540242,2025-03,625
top3_mean_consumption,-4,0.0373726723,0.0728202516,0.6077987551,-0.1053550208,0.1801003655,2025-03,625
top3_mean_consumption,-3,0.0392606101,0.0754667892,0.6028984543,-0.1086542967,0.1871755169,2025-03,625
top3_mean_consumption,-2,0.0538491501,0.0740238454,0.4669461672,-0.091237587,0.1989358871,2025-03,625
top3_mean_consumption,0,-0.6461196963,0.0734470088,1.404139561e-18,-0.7900758335,-0.5021635591,2025-03,625
top3_mean_consumption,-5,0.0159522383,0.1000471622,0.8733165666,-0.1801401997,0.2120446763,2025-04,334
top3_mean_consumption,-4,0.0221834805,0.0966903908,0.8185362954,-0.1673296854,0.2116966464,2025-04,334
top3_mean_consumption,-3,0.0191143863,0.0876478193,0.8273654477,-0.1526753394,0.1909041121,2025-04,334
top3_mean_consumption,-2,-0.0492538126,0.0882345577,0.5766978967,-0.2221935456,0.1236859205,2025-04,334
top3_mean_consumption,-6,152456283337.04053,,,,,2025-05,140
top3_mean_consumption,-5,152456283337.01978,2.429225263e+19,0.999999995,-4.7612815e+19,4.76128153e+19,2025-05,140
top3_mean_consumption,-4,152456283337.083,,,,,2025-05,140
top3_mean_consumption,-3,152456283337.01172,,,,,2025-05,140
top3_mean_consumption,-2,152456283337.08514,,,,,2025-05,140
top3_mean_consumption,6,152456283336.14267,,,,,2025-05,140
top3_mean_consumption,-7,22399047786626.977,,,,,2025-06,125
top3_mean_consumption,-6,22399047786626.914,6.655356127e+19,0.9999997315,-1.304449577e+20,1.304450025e+20,2025-06,125
top3_mean_consumption,-5,22399047786627.062,5.728018543e+19,0.999999688,-1.12269141e+20,1.122691858e+20,2025-06,125
top3_mean_consumption,-4,22399047786626.934,3.622717015e+19,0.9999995067,-7.100523109e+19,7.100527589e+19,2025-06,125
top3_mean_consumption,-3,22399047786627.0,6.142615558e+19,0.9999997091,-1.203952425e+20,1.203952873e+20,2025-06,125
top3_mean_consumption,5,22399047786626.234,39936405951765.695,0.5748876004,-55876307878834.53,100674403452087.0,2025-06,125
top3_mean_consumption,6,22399047786626.44,4.248012245e+19,0.9999995793,-8.32610176e+19,8.32610624e+19,2025-06,125
top3_mean_consumption,-8,-10622272238103.77,,,,,2025-07,64
top3_mean_consumption,-7,-10622272238103.797,,,,,2025-07,64
top3_mean_consumption,-6,-10622272238103.812,,,,,2025-07,64
top3_mean_consumption,-5,-10622272238103.877,,,,,2025-07,64
top3_mean_consumption,-4,-10622272238103.809,,,,,2025-07,64
top3_mean_consumption,4,-10622272238104.389,,,,,2025-07,64
top3_mean_consumption,5,-10622272238104.713,,,,,2025-07,64
top3_mean_consumption,6,-10622272238104.406,,,,,2025-07,64
top3_mean_consumption,-9,-23576149124808.742,,,,,2025-08,40
top3_mean_consumption,-8,-23576149124808.73,,,,,2025-08,40
top3_mean_consumption,-7,-23576149124808.91,,,,,2025-08,40
top3_mean_consumption,-6,-23576149124808.785,,,,,2025-08,40
top3_mean_consumption,-5,-23576149124808.96,,,,,2025-08,40
